iter	Passed	Remaining
1360	215242	21982
1361	215394	21824
1362	215606	21671
1363	215793	21516
1364	215971	21359
1365	216158	21204
1366	216320	21046
1367	216490	20889
1368	216723	20738
1369	216887	20580
1370	217033	20421
1371	217176	20261
1372	217329	20102
1373	217478	19943
1374	217630	19784
1375	217831	19630
1376	218003	19473
1377	218154	19314
1378	218299	19154
1379	218451	18995
1380	218610	18837
1381	218787	18680
1382	218964	18524
1383	219157	18368
1384	219339	18212
1385	219518	18055
1386	219682	17897
1387	219888	17743
1388	220120	17590
1389	220290	17433
1390	220439	17273
1391	220615	17116
1392	220786	16959
1393	220955	16801
1394	221188	16648
1395	221359	16490
1396	221520	16332
1397	221689	16174
1398	221865	16017
1399	222052	15860
1400	222248	15704
1401	222415	15546
1402	222584	15388
1403	222738	15230
1404	222910	15072
1405	223077	14914
1406	223290	14759
1407	223476	14602
1408	223622	14442
1409	223756	14282
1410	223931	14124
1411	224077	13965
1412	224240	13806
1413	224454	13651
1414	224627	13493
1415	224794	13335
1416	224971	13177
1417	225114	13017
1418	225309	12861
1419	225537	12706
1420	225713	12548
1421	225877	12389
1422	226052	12231
1423	226217	12073
1424	226381	11914
1425	226593	11758
1426	226741	11599
1427	226914	11441
1428	227079	11282
1429	227210	11122
1430	227364	10963
1431	227512	10803
1432	227719	10647
1433	227910	10489
1434	228092	10331
1435	228255	10172
1436	228439	10015
1437	228631	9857
1438	228838	9700
1439	228992	9541
1440	229169	9383
1441	229317	9223
1442	229515	9066
1443	229682	8907
1444	229885	8749
1445	230130	8594
1446	230307	8435
1447	230474	8276
1448	230661	8118
1449	230824	7959
1450	231077	7803
1451	231288	7645
1452	231455	7486
1453	231609	7327
1454	231774	7168
1455	231952	7009
1456	232147	6851
1457	232334	6692
1458	232517	6534
1459	232717	6375
1460	232871	6216
1461	233033	6056
1462	233232	5898
1463	233476	5741
1464	233708	5583
1465	233887	5424
1466	234122	5266
1467	234312	5107
1468	234569	4950
1469	234751	4790
1470	234982	4632
1471	235179	4473
1472	235361	4314
1473	235588	4155
1474	235725	3995
1475	235911	3835
1476	236068	3676
1477	236282	3517
1478	236471	3357
1479	236692	3198
1480	236847	3038
1481	237017	2878
1482	237181	2718
1483	237388	2559
1484	237573	2399
1485	237809	2240
1486	237969	2080
1487	238147	1920
1488	238310	1760
1489	238469	1600
1490	238650	1440
1491	238854	1280
1492	239005	1120
1493	239182	960
1494	239371	800
1495	239604	640
1496	239824	480
1497	240060	320
1498	240250	160
1499	240424	0
